Make	SUM(Vehicle_Count)
TESLA	104100
CHEVROLET	17771
NISSAN	15772
FORD	13158
KIA	12019
BMW	10141
TOYOTA	9999
HYUNDAI	7906
RIVIAN	7332
JEEP	6697
VOLKSWAGEN	6319
VOLVO	6267
AUDI	4485
CHRYSLER	3829
MERCEDES-BENZ	2635
HONDA	2299
SUBARU	2199
PORSCHE	1597
POLESTAR	1382
CADILLAC	1294
MINI	1159
MAZDA	1147
MITSUBISHI	1129
LEXUS	1077
FIAT	840
DODGE	818
LUCID	416
GMC	392
GENESIS	389
LINCOLN	385
ACURA	264
SMART	237
JAGUAR	235
LAND ROVER	157
FISKER	145
ALFA ROMEO	102
LAMBORGHINI	7
BENTLEY	7
ROLLS-ROYCE	6
TH!NK	5
BRIGHTDROP	5
AZURE DYNAMICS	4
RAM	4
MULLEN AUTOMOTIVE INC.	2
VINFAST	2
WHEEGO ELECTRIC CARS	2